,internal_memory,battery,days_used
0,64.0,9.219591252725978,127000
1,128.0,9.687109071206462,325000
2,128.0,9.655799269183396,162000
3,64.0,9.888398297780718,293000
4,64.0,9.590959635098017,223000
5,32.0,9.219591252725978,234000
6,64.0,9.375765107441309,219000
7,128.0,9.590959635098017,161000
8,128.0,9.590959635098017,327000
9,64.0,9.219591252725978,268000
10,64.0,9.888398297780718,344000
11,128.0,9.62376123336363,537000
12,64.0,9.590959635098017,336000
13,32.0,9.219591252725978,230000
14,64.0,9.590959635098017,248000
15,128.0,9.505358538348151,395000
16,64.0,9.590959635098017,421000
17,32.0,9.219591252725978,532000
18,32.0,9.540241685481396,187000
19,64.0,9.243332259427689,499000
20,32.0,9.33636716863822,497000
21,128.0,9.567523972756117,202000
22,64.0,9.540241685481396,493000
23,128.0,9.590959635098017,91000
24,64.0,9.590959635098017,299000
25,128.0,9.590959635098017,354000
26,128.0,9.590959635098017,306000
27,128.0,9.590959635098017,205000
28,256.0,9.655799269183396,120000
29,64.0,9.590959635098017,161000
30,64.0,9.590959635098017,93000
31,128.0,9.590959635098017,460000
32,128.0,9.655799269183396,223000
33,64.0,9.590959635098017,206000
34,64.0,9.590959635098017,488000
35,64.0,9.590959635098017,516000
36,512.0,9.74767345570188,289000
37,128.0,9.655799269183396,477000
38,128.0,9.655799269183396,195000
39,128.0,9.590959635098017,244000
40,128.0,9.590959635098017,376000
41,128.0,9.414059763958425,333000
42,128.0,9.414059763958425,284000
43,128.0,9.590959635098017,202000
44,64.0,9.590959635098017,445000
45,64.0,9.590959635098017,375000
46,16.0,8.471405882214839,666000
47,8.0,9.62376123336363,819000
48,8.0,9.210854535343213,819000
49,16.0,9.590959635098017,267000
50,32.0,9.447632267965798,528000
51,64.0,9.590959635098017,254000
52,128.0,9.590959635098017,370000
53,64.0,9.607458188108893,482000
54,64.0,9.590959635098017,273000
55,64.0,9.590959635098017,349000
56,128.0,9.888398297780718,352000
57,128.0,9.888398297780718,142000
58,32.0,9.590959635098017,92000
59,32.0,9.395046402964434,166000
60,256.0,9.590959635098017,383000
61,64.0,9.590959635098017,443000
62,16.0,9.210854535343213,257000
63,16.0,9.210854535343213,380000
64,32.0,9.414059763958425,255000
65,32.0,9.590959635098017,512000
66,64.0,9.607458188108893,223000
67,32.0,9.590959635098017,200000
68,32.0,9.590959635098017,210000
69,32.0,9.414059763958425,216000
70,64.0,9.33636716863822,724000
71,16.0,9.74767345570188,628000
72,0.5,8.310409131517808,1016000
73,0.2,8.681501686107056,680000
74,16.0,8.681501686107056,733000
75,64.0,9.590959635098017,310000
76,16.0,9.210854535343213,193000
77,16.0,9.210854535343213,356000
78,64.0,9.74767345570188,284000
79,128.0,9.599233647915531,397000
80,128.0,9.665267131936067,411000
81,128.0,9.451312256556989,276000
82,128.0,9.602529366951249,205000
83,128.0,9.597582822504739,321000
84,256.0,9.612369414753637,392000
85,32.0,9.590959635098017,296000
86,32.0,9.665267131936067,664000
87,8.0,8.681501686107056,1076000
88,128.0,9.590959635098017,317000
89,256.0,9.266666780591667,135000
90,64.0,9.249735933377629,523000
91,128.0,9.74767345570188,234000
92,128.0,9.529869489582104,414000
93,64.0,10.133124576774593,135000
94,32.0,9.888398297780718,153000
95,128.0,9.590959635098017,125000
96,16.0,9.072586740392266,123000
97,32.0,9.590959635098017,220000
98,16.0,9.590959635098017,173000
99,128.0,9.888398297780718,413000
100,128.0,9.702501259853367,279000
101,128.0,9.74767345570188,212000
102,128.0,9.888398297780718,188000
103,128.0,9.74767345570188,264000
104,64.0,9.888398297780718,230000
105,64.0,9.74767345570188,259000
106,64.0,9.888398297780718,349000
107,128.0,9.888398297780718,500000
108,256.0,9.74767345570188,288000
109,128.0,9.74767345570188,391000
110,128.0,9.74767345570188,204000
111,128.0,9.74767345570188,293000
112,16.0,9.600882494456952,456000
113,128.0,9.74767345570188,224000
114,64.0,9.74767345570188,451000
115,64.0,9.888398297780718,338000
116,128.0,9.48757873517308,455000
117,64.0,9.32028433757116,431000
118,128.0,9.888398297780718,334000
119,128.0,9.570896484727198,415000
120,16.0,9.600882494456952,266000
121,4.0,8.615064317865693,931000
